asset,min_pairwise_delta,avg_pairwise_delta,differentiation_pass,argyra_delta,lamenth_delta,meridia_delta,pyrakanth_delta,virelune_delta
exp3_farm_carrot.png,53.634,102.449,True,72.08,88.601,15.364,63.602,152.614
exp3_farm_corn.png,52.767,89.012,True,66.495,73.806,14.249,61.994,135.538
exp3_farm_hay_bale.png,40.863,81.712,True,54.871,51.839,12.896,61.279,115.097
exp3_farm_hoe.png,28.158,47.114,True,51.485,46.846,12.98,38.344,61.955
exp3_farm_milk_bottle.png,33.048,43.785,True,32.224,42.88,14.472,33.359,50.515
exp3_farm_seed_bag.png,26.535,65.102,True,54.782,50.407,12.284,48.215,89.958
exp3_farm_tomato.png,44.005,82.561,True,73.449,84.397,16.191,56.687,127.776
exp3_farm_watering_can.png,26.256,39.509,True,48.012,41.547,11.459,35.278,48.57
exp3_farm_wheat_sheaf.png,41.246,91.335,True,63.231,62.434,12.5,61.923,132.364
exp3_farm_wooden_crate.png,27.761,77.486,True,58.364,58.11,11.239,50.686,107.676
exp3_forest_berry_branch.png,20.248,31.483,True,17.788,38.082,17.543,22.798,22.683
exp3_forest_hand_axe.png,18.417,27.477,True,26.525,20.584,9.964,22.128,19.995
exp3_forest_herb_bundle.png,21.302,31.197,True,17.694,36.115,17.752,26.318,25.8
exp3_forest_lantern.png,19.417,30.091,True,30.295,18.826,9.076,24.921,27.677
exp3_forest_log_bundle.png,27.099,33.256,True,25.484,43.574,21.699,36.625,42.089
exp3_forest_pine_cone.png,28.62,36.252,True,20.385,41.261,17.476,28.793,35.164
exp3_forest_red_mushroom.png,33.996,43.465,True,29.321,44.908,16.073,28.027,46.124
exp3_forest_rope_coil.png,29.48,43.66,True,29.846,44.029,19.381,42.172,56.398
exp3_forest_sapling.png,18.776,28.151,True,24.752,24.099,11.872,22.138,20.252
exp3_forest_stone_ore.png,19.002,28.749,True,24.822,28.744,23.078,22.958,28.156
